TOTALDEMAND,RRP
4670.4,39.09
4513.84,38.39
4329.71,36.46
4146.21,35.79
4003.9,33.65
3883.99,30.36
3803.84,30.9
3845.66,30.58
3901.61,32.11
3962.77,34.37
4159.89,37.33
4349.67,39.94
4652.33,50.23
4785.24,41.63
4840.02,40.0
4886.21,40.05
4823.65,40.01
4677.42,32.87
4555.65,33.99
4388.46,27.51
4177.25,28.85
4075.69,11.22
3982.4,3.83
3995.01,8.78
3960.07,6.03
3874.91,4.18
3732.48,-6.31
3709.51,-35.29
3686.05,-36.66
3717.91,-35.03
3772.59,-28.05
3965.82,-6.56
4191.31,23.48
4441.26,35.02
4806.06,37.09
5098.44,42.96
5345.9,142.76
5536.92,182.55
5547.56,58.87
5404.33,50.68
5277.41,43.63
5145.51,38.6
5032.58,35.96
4904.25,35.13
4715.23,38.35
4566.56,34.12
4636.28,35.24
4682.82,34.44
4497.31,19.77
4320.44,33.97
4209.87,13.81
3968.8,-30.15
3828.49,-38.51
3744.76,-38.73
3660.92,-41.59
3644.5,-43.5
3628.73,-41.75
3656.66,-42.12
3803.68,-38.7
3966.13,-37.0
4265.33,-13.46
4416.97,-1.09
4397.97,-8.09
4425.3,-20.61
4317.78,-1.07
4172.36,-29.23
4002.31,-35.95
3796.48,-8.82
3560.95,-64.31
3482.79,-55.89
3415.53,-47.77
3359.41,-58.15
3437.62,-45.01
3463.16,-43.69
3488.92,-42.8
3543.53,-35.82
3653.35,-18.68
3779.33,-21.54
3918.6,-15.76
4073.29,-9.36
4405.49,33.91
4609.15,32.91
4850.11,35.25
4991.33,34.85
5036.4,30.22
5115.29,37.7
5101.62,33.26
4999.69,33.0
4802.06,33.0
4641.11,30.61
4496.15,20.03
4432.38,6.55
4321.54,-10.77
4299.38,0.64
4485.88,13.94
4481.78,20.86
4308.78,-8.32
4147.2,-17.49
4021.3,-20.62
3846.39,-41.78
3663.87,-42.08
3588.5,-8.08
3483.9,-42.09
3416.03,-45.6
3361.52,-47.82
3349.05,-46.78
3367.61,-46.24
3352.38,-45.57
3384.93,-45.42
3421.97,-47.81
3326.49,-40.01
3298.75,-43.05
3262.34,-32.66
3209.73,-40.19
3148.64,-40.43
3073.81,-45.48
3058.84,-37.71
3078.33,-37.1
3085.94,-28.55
3185.27,-38.67
3258.66,-39.55
3376.13,-13.81
3434.56,-15.09
3601.56,13.28
3642.24,7.77
3716.67,8.55
3776.11,-0.67
3920.95,16.15
4132.22,28.83
4420.71,35.62
4681.69,35.36
4898.82,37.23
5001.03,39.9
5077.33,43.44
4950.91,40.9
4832.6,38.59
4704.48,37.74
4534.65,33.15
4421.1,33.19
4380.34,37.71
4268.65,38.47
4219.51,39.12
4379.78,44.71
4346.08,43.82
4146.95,37.46
3993.0,34.9
3908.32,34.44
3777.29,31.19
3604.48,30.98
3510.78,33.43
3464.77,36.36
3427.08,37.68
3445.8,37.58
3458.85,37.57
3549.88,35.56
3570.38,35.81
3588.28,32.85
3598.78,32.85
3573.1,26.28
3644.45,13.84
3700.65,28.57
3612.7,22.71
3639.27,12.69
3655.36,0.83
3692.29,0.0
3855.05,18.34
3906.15,23.35
3954.04,18.48
3796.42,21.27
3681.51,3.49
3571.53,0.0
3536.15,11.76
3648.26,31.62
3889.67,39.88
4089.65,34.68
4254.18,31.78
4422.92,46.99
4608.15,37.02
4710.38,34.5
4791.73,17.82
4806.45,35.39
4787.94,39.77
4665.75,35.3
4488.62,18.36
4264.71,5.2
4127.8,12.26
4021.88,10.47
3907.28,9.19
3771.22,1.35
3737.32,-0.48
3959.83,11.95
4046.72,28.19
3981.03,10.96
3853.21,16.32
3715.16,1.57
3585.28,-6.31
3510.14,-12.7
3474.64,-3.94
3475.25,-3.04
3512.48,3.27
3651.72,9.14
3800.72,15.76
4103.44,33.7
4423.47,35.78
4773.18,36.19
5089.63,47.61
5237.61,39.62
5405.07,42.44
5525.85,38.67
5465.23,40.03
5368.11,46.13
5291.22,40.7
5235.83,35.94
5168.02,31.94
5063.04,34.0
4965.12,32.55
4891.3,33.47
4809.3,33.19
4784.64,33.88
4644.46,26.7
4646.17,33.96
4700.35,37.45
4786.39,43.31
5008.42,41.1
5201.56,39.62
5422.49,70.98
5529.06,102.06
5627.08,59.48
5596.99,52.64
5682.67,69.04
5602.28,52.61
5409.7,48.02
5240.13,46.77
5053.41,44.22
4801.28,38.87
4694.57,37.16
4457.46,38.03
4367.04,29.83
4542.14,36.49
4543.69,41.41
4448.97,40.14
4287.65,27.93
4158.59,2.8
4013.12,6.68
3903.26,2.98
3877.46,8.69
3898.04,8.08
3879.7,7.83
4031.36,35.99
4124.43,9.68
4492.06,39.74
4818.51,56.67
5191.03,65.77
5552.27,139.61
5610.16,69.89
5617.97,178.18
5597.88,278.47
5478.93,64.22
5365.57,49.34
5397.17,50.76
5216.36,42.68
5100.57,26.33
5163.87,57.44
5299.9,50.4
5317.89,41.93
5388.42,66.8
5383.79,62.44
5401.62,95.37
5414.97,66.43
5446.56,89.04
5554.98,56.32
5693.96,46.76
5846.46,56.05
6032.81,231.11
6101.55,214.35
6142.91,147.2
6065.22,271.13
5999.07,130.53
5897.72,58.49
5760.84,55.77
5551.74,53.38
5350.52,47.19
5084.51,50.28
4806.73,44.52
4635.19,44.08
4549.08,21.94
4720.06,47.31
4733.63,48.12
4644.69,47.79
4495.38,39.29
4427.23,45.28
4287.34,40.79
4142.93,41.6
4085.73,36.95
4043.66,35.17
4022.39,21.65
4140.44,44.63
4273.83,44.24
4626.32,51.88
4911.36,119.07
5277.9,163.27
5595.86,207.98
5617.23,74.73
5668.23,89.07
5736.31,203.34
5476.76,275.75
5414.7,181.05
5354.64,262.98
5230.21,182.71
5161.68,201.41
5233.86,192.87
5234.92,298.9
5201.49,274.35
5209.0,298.35
5200.92,298.53
5149.21,216.91
5121.22,75.09
5259.71,266.63
5376.3,299.5
5503.77,296.66
5685.85,215.78
5933.47,252.84
5963.57,70.78
5901.17,56.7
5722.79,47.02
5754.23,45.48
5599.5,44.54
5404.51,41.85
5140.69,35.83
4935.13,33.92
4692.7,33.66
4480.54,27.95
4260.52,19.11
4215.74,5.94
4370.55,18.99
4456.44,31.33
4328.18,19.32
4200.2,9.34
4072.96,10.95
3949.43,-1.05
3824.59,-8.3
3737.51,-36.83
3666.18,-62.31
3736.99,-44.59
3774.34,-38.89
3888.81,-22.15
4164.92,6.54
4450.19,21.6
4776.27,31.57
4973.13,40.22
4975.68,39.94
4869.75,34.23
4751.25,21.84
4672.12,23.74
4698.53,12.91
4532.21,17.37
4527.63,24.01
4535.42,27.17
4771.24,26.26
4995.01,42.65
4942.23,35.19
4841.43,29.02
4822.47,29.72
4694.5,28.51
4679.88,23.51
4882.9,28.67
5042.32,34.41
5123.77,31.79
5299.06,32.32
5529.54,35.4
5658.89,29.1
5649.19,30.04
5583.64,73.01
5613.45,80.68
5464.06,47.79
5268.91,49.68
5072.03,45.12
4863.98,39.73
4610.57,39.32
4420.68,34.02
4275.38,43.59
4157.76,32.19
4423.74,40.1
4425.59,43.36
4326.32,37.87
4196.88,19.88
4066.74,22.16
3943.35,24.86
3851.96,31.74
3734.34,24.13
3749.54,29.81
3785.94,31.38
3861.83,30.25
4055.52,42.09
4388.86,42.84
4676.38,50.8
5042.08,48.05
5285.27,78.67
5350.44,47.56
5381.7,32.07
5406.34,37.26
5368.74,40.31
5213.47,33.08
5098.62,42.43
4999.27,28.17
4928.04,22.21
4648.78,-5.52
4733.9,16.87
4737.63,10.65
4567.67,4.41
4504.09,12.74
4351.8,-15.87
4275.3,-6.53
4251.59,8.89
4324.42,14.17
4399.56,22.06
4501.87,46.18
4709.06,29.73
4927.57,41.82
5086.51,52.71
5245.78,287.69
5412.63,299.23
5397.67,145.74
5332.08,244.72
5252.36,136.74
5123.5,95.01
4940.71,103.39
4794.28,59.07
4600.45,123.44
4524.22,50.42
4716.09,56.98
4721.43,46.43
4539.58,42.87
4415.23,38.28
4291.93,33.68
4110.2,33.9
4004.83,19.28
3900.7,8.93
3899.73,23.69
3874.82,34.24
3871.26,35.8
3947.76,39.13
4115.42,45.15
4194.01,46.12
4337.81,41.07
4399.36,30.77
4275.14,15.22
4159.72,31.36
4028.86,39.08
3821.0,16.58
3680.64,15.64
3514.88,-3.26
3369.62,1.16
3247.94,10.02
3173.31,-11.38
3298.67,-10.49
3346.17,-6.64
3339.58,-8.05
3296.61,-5.4
3320.48,-11.31
3369.4,18.89
3415.07,12.41
3586.13,13.25
3708.14,25.91
3946.85,35.87
4276.01,36.4
4490.43,42.7
4695.96,49.84
4801.64,74.84
4877.11,149.59
4850.45,50.58
4762.24,54.14
4601.85,59.11
4536.42,49.22
4471.73,46.96
4331.59,44.06
4205.0,43.53
4155.33,42.29
4337.78,46.92
4306.76,50.43
4180.22,48.43
4087.11,46.55
4000.4,42.78
3816.12,46.43
3754.58,46.75
3667.98,44.78
3614.7,44.95
3604.4,46.64
3615.37,47.41
3655.46,42.19
3749.74,42.34
3736.39,42.03
3804.1,39.79
3892.42,39.18
3873.2,32.36
3882.06,22.47
3901.79,33.64
3862.46,31.61
3933.22,41.5
3836.43,32.19
3758.52,32.24
3593.61,24.28
3456.85,19.74
3319.62,32.87
3156.68,17.44
3050.55,17.03
2982.38,6.67
2975.43,15.36
3045.49,23.2
3160.23,31.2
3347.92,34.83
3533.27,36.71
3840.73,42.67
4191.85,71.04
4487.99,124.79
4740.9,198.89
4848.99,267.26
4916.4,147.73
4999.16,116.95
4897.39,62.59
4787.59,54.54
4670.81,63.61
4537.32,61.12
4344.66,53.15
4278.75,56.3
4246.77,57.33
4450.89,54.64
4496.74,65.43
4374.62,63.47
4261.5,50.49
4181.35,50.19
4059.19,48.6
3936.44,47.79
3907.12,46.06
3927.38,45.48
3954.97,47.16
4105.02,49.53
4220.55,59.22
4619.28,74.39
4964.35,165.12
5338.4,100.26
5598.16,55.77
5355.73,35.78
5088.71,34.26
4831.88,32.92
4479.16,27.23
4310.52,36.47
4220.26,42.02
4252.21,36.95
4059.61,40.48
3814.12,17.49
3625.92,2.47
3548.94,19.95
3488.33,16.48
3440.15,4.47
3465.47,14.8
3443.9,2.08
3569.62,9.96
3788.94,27.29
4117.34,38.71
4494.1,34.13
4828.89,45.01
5000.05,38.96
5007.48,22.68
4931.15,33.65
4979.68,53.11
4961.23,45.0
4828.16,36.46
4713.11,37.53
4554.81,33.68
4443.53,39.97
4243.18,26.99
4173.94,39.5
4136.95,31.92
4325.73,37.05
4456.85,47.37
4363.12,50.49
4238.42,43.36
4148.96,42.61
3971.99,41.22
3899.46,43.37
3832.54,44.42
3815.16,45.66
3791.49,43.6
3909.88,41.61
4040.79,44.68
4405.54,48.74
4689.04,115.84
4996.09,51.37
5232.13,50.88
5120.47,37.11
5089.67,37.87
5042.33,37.08
4897.06,35.05
4797.76,32.03
4658.3,36.43
4545.73,30.23
4516.53,29.99
4459.53,29.99
4359.53,29.99
4275.08,33.22
4192.93,30.19
4149.69,30.43
4162.76,32.09
4150.39,31.88
4186.13,32.26
4320.35,36.95
4410.53,32.33
4594.41,40.17
4890.68,63.4
5132.79,49.1
5273.28,63.56
5286.89,60.37
5296.55,61.14
5311.93,51.19
5219.71,45.54
5014.87,44.1
4878.69,38.83
4669.5,40.41
4480.05,36.51
4361.03,42.12
4303.2,40.48
4500.58,43.46
4556.71,50.0
4436.18,50.7
4303.75,44.24
4216.52,43.3
4076.61,39.99
3960.43,38.76
3933.91,39.96
3926.85,36.95
3930.33,36.08
4040.33,43.95
4221.44,45.58
4573.03,63.71
4847.58,121.57
5180.88,110.47
5424.21,63.42
5345.59,41.05
5225.15,40.08
5108.52,37.68
4882.63,40.75
4590.56,38.59
4293.51,44.2
4078.53,32.96
3914.14,30.43
3843.83,32.65
3772.4,19.32
3715.45,20.95
3728.25,19.99
3749.66,24.09
3825.9,29.83
3943.58,32.02
4115.48,38.4
4332.67,33.76
4586.33,42.0
4791.86,57.21
5017.7,82.3
5120.1,77.26
5247.82,73.66
5174.46,58.54
5195.73,63.56
5132.91,52.98
5009.83,46.42
4757.87,39.02
4601.4,36.21
4404.2,37.61
4203.67,32.23
4081.44,31.73
4005.72,15.95
4250.8,30.44
4262.99,24.94
4090.72,17.78
3936.06,12.14
3913.34,-7.05
3774.78,-27.87
3701.76,-29.35
3623.26,-35.17
3564.93,-35.87
3544.89,-35.72
3712.85,-10.35
3946.24,0.34
4281.8,28.7
4537.8,34.37
4763.8,35.31
4879.88,36.15
4800.71,34.68
4845.68,34.25
4864.47,26.02
4880.95,34.51
4859.95,39.68
4913.13,47.45
4828.22,37.3
4909.25,40.66
4973.79,39.22
4945.17,36.06
4951.04,39.0
4942.09,42.37
4914.86,42.38
4859.21,43.42
4870.03,51.88
5020.96,60.0
5078.15,53.87
5169.11,41.31
5330.13,54.02
5475.05,70.21
5514.6,52.32
5382.17,54.19
5324.08,60.0
5166.99,71.69
5068.17,61.49
4887.19,45.06
4772.59,42.08
4644.06,46.46
4458.23,45.43
4315.54,30.49
4196.29,45.85
4142.05,36.16
4414.44,44.02
4453.6,44.13
4284.85,38.22
4089.18,37.09
4021.62,36.92
3895.26,37.08
3791.49,33.47
3718.38,13.43
3700.84,11.13
3774.54,28.12
3878.63,22.26
4004.07,35.43
4324.15,45.12
4597.77,40.65
4896.89,48.49
5104.17,60.42
4911.28,46.22
4706.42,50.83
4547.83,40.01
4301.44,27.31
4107.29,35.88
3968.4,37.58
3866.61,38.57
3851.8,38.22
3861.53,46.67
3893.07,40.95
3893.81,37.94
3988.58,44.15
4104.37,52.81
4244.53,55.84
4299.52,55.73
4517.15,83.15
4774.06,85.59
4959.01,59.66
5102.3,77.19
5277.89,146.5
5359.9,93.0
5428.17,158.75
5379.36,81.63
5363.61,96.53
5285.06,96.77
5186.25,64.58
4981.75,67.96
4841.27,64.01
4680.35,43.29
4504.95,41.46
4390.47,44.99
4297.82,41.46
4488.44,44.03
4477.59,49.63
4321.33,50.15
4177.14,47.74
4029.37,53.5
3939.57,48.33
3859.51,51.59
3787.24,48.84
3755.47,39.37
3699.09,38.88
3742.05,43.94
3799.22,47.74
3901.92,48.94
3931.99,47.49
4101.61,52.69
4188.63,65.92
4237.73,52.4
4267.75,61.19
4287.92,63.83
4127.42,50.62
4093.69,40.73
4146.2,38.1
3994.18,16.52
3817.5,22.42
3732.75,14.37
3675.06,19.05
3657.15,28.2
3621.02,31.49
3503.63,31.4
3429.19,31.74
3400.99,31.83
3460.54,32.23
3528.08,33.01
3672.21,33.38
3834.48,33.2
4176.82,34.99
4405.56,43.21
4589.84,48.35
4688.31,46.29
4752.09,45.19
4823.27,45.01
4675.16,38.49
4546.97,42.6
4410.27,42.95
4357.76,41.63
4244.1,36.57
4139.86,38.38
4054.74,35.28
4214.95,40.76
4191.11,42.87
4081.75,44.09
3947.25,40.82
3863.32,40.61
3735.93,38.72
3643.63,40.98
3592.03,37.67
3572.09,37.01
3556.48,41.03
3575.72,41.07
3611.59,42.33
3746.68,41.87
3778.25,41.88
3864.11,38.12
4009.21,41.34
4040.97,41.18
4080.97,41.85
4056.66,40.05
4132.1,39.85
4140.69,38.8
4053.45,40.39
3960.89,38.52
3917.03,36.91
3847.88,36.87
3818.27,32.25
3832.0,33.54
3636.76,24.14
3562.81,13.05
3523.88,21.64
3525.77,15.34
3623.91,17.6
3784.51,37.77
3979.24,36.86
4239.27,34.51
4497.24,43.25
4673.17,46.05
4858.06,49.57
4973.27,58.3
5086.75,63.27
5178.37,63.42
5108.24,54.58
4923.71,52.35
4710.72,43.19
4577.23,40.06
4380.44,40.58
4216.92,39.58
4170.05,41.28
4355.06,41.37
4366.76,42.57
4291.67,42.18
4209.44,42.84
4147.28,41.26
4017.45,40.79
3921.75,41.23
3832.78,38.89
3822.18,40.99
3851.29,44.4
3971.05,44.57
4158.24,46.22
4535.59,54.43
4898.27,78.88
5321.05,77.32
5620.3,116.36
5411.04,50.14
5216.44,45.85
5079.76,43.04
4687.85,42.1
4710.6,45.78
4798.85,43.56
4780.96,92.84
4740.2,78.88
4763.39,56.12
4726.0,61.27
4714.84,62.32
4571.27,44.9
4507.98,37.92
4507.25,39.08
4417.53,38.74
4419.55,38.66
4529.36,40.67
4658.33,43.23
4805.01,39.55
5007.29,45.06
5168.05,50.24
5298.46,56.06
5395.52,67.9
5492.13,80.07
5516.52,71.31
5509.89,90.6
5355.92,54.79
5135.97,45.56
4934.19,42.11
4727.04,42.13
4552.79,43.51
4459.7,44.01
4677.73,71.62
4657.94,47.16
4565.54,43.89
4446.04,43.25
4352.24,43.3
4211.5,41.5
4115.29,41.78
4058.39,39.22
3991.78,39.47
4049.54,38.21
4176.16,41.94
4331.06,44.57
4737.18,60.82
5096.26,70.49
5489.49,78.02
5674.18,70.49
5472.35,45.07
5336.89,73.63
5156.42,42.57
4940.8,45.22
4822.93,46.3
4746.1,53.16
4650.64,62.33
4596.07,56.16
4514.81,49.99
4417.16,53.48
4215.01,38.6
4080.57,36.62
3986.16,35.21
3989.8,36.46
4005.42,37.34
4116.21,38.16
4199.38,38.71
4375.14,39.98
4618.49,42.19
4887.78,57.93
5145.63,65.2
5290.41,186.91
5270.42,225.54
5346.07,206.76
5376.95,84.38
5310.35,72.63
5157.08,66.92
4970.64,71.27
4780.93,106.43
4573.58,59.82
4476.97,66.65
4394.41,54.71
4610.78,61.82
4567.89,92.08
4475.61,54.69
4332.06,52.5
4250.95,58.66
4107.46,57.39
4028.92,58.07
3972.82,59.94
3968.91,58.11
3964.21,64.4
4072.36,87.74
4230.04,150.26
4578.0,249.86
4861.78,222.62
5245.95,311.33
5383.82,301.8
5229.47,177.98
5136.8,56.86
5006.42,50.84
4820.61,53.68
4644.33,45.35
4510.12,40.77
4424.16,42.1
4332.91,42.12
4259.92,46.31
4179.84,43.64
4060.29,40.08
3995.04,40.08
3964.08,42.22
4012.79,50.11
4078.36,56.47
4182.33,49.07
4304.4,48.44
4427.09,44.25
4620.65,41.38
4858.95,58.03
5079.51,59.54
5136.24,59.57
5195.6,140.6
5233.18,187.29
5229.14,62.89
5151.39,67.2
4976.85,45.83
4810.94,47.52
4636.07,44.08
4466.79,44.18
4332.06,61.92
4265.35,48.87
4499.3,55.57
4493.6,50.67
4382.78,48.98
4294.18,43.01
4218.32,38.85
4078.74,40.47
4003.02,40.67
3933.74,39.18
3936.04,46.09
3951.5,49.11
4105.71,51.82
4267.42,50.79
4582.56,52.89
4867.37,224.51
5200.97,59.44
5373.68,66.18
5219.21,49.88
5021.39,48.78
4823.42,52.32
4593.82,42.63
4365.39,42.43
4184.65,38.72
4118.54,40.74
4075.63,45.56
3865.61,38.14
3811.48,38.1
3741.7,42.46
3707.75,53.75
3685.49,60.0
3718.8,57.99
3746.5,50.69
3928.38,57.69
4086.53,55.44
4310.1,48.83
4440.51,48.77
4654.88,160.24
4806.89,68.49
4932.55,70.7
4982.39,58.54
5027.63,62.23
5069.74,56.26
4999.03,56.81
4865.79,97.2
4716.07,46.53
4552.35,38.79
4381.96,31.52
4274.85,47.29
4224.19,44.19
4457.04,49.99
4431.04,47.77
4278.44,46.78
4142.14,42.81
4029.8,42.74
3912.59,39.79
3815.99,42.57
3724.09,39.62
3707.47,39.05
3733.97,40.35
3754.34,41.46
3786.29,42.49
3926.96,49.59
3976.76,61.68
4159.56,64.08
4285.38,73.11
4352.86,122.97
4372.36,92.22
4442.98,110.41
4487.29,68.35
4385.49,49.49
4257.97,53.78
4097.13,52.99
3998.55,41.34
3962.84,44.57
3888.64,47.01
4023.57,58.63
4014.36,58.25
3953.22,66.48
3961.76,60.56
3924.14,106.94
4005.04,59.93
4202.36,63.79
4388.21,32.47
4605.01,55.39
4789.82,58.42
4866.9,37.98
4852.15,38.16
4779.48,47.25
4768.16,26.39
4736.39,45.98
4648.55,107.39
4486.26,99.6
4347.64,47.11
4266.86,52.81
4177.91,47.2
4088.29,58.92
4030.35,45.22
4234.36,54.49
4266.99,49.33
4135.15,42.32
3997.46,20.37
3891.84,8.93
3690.62,10.52
3584.94,3.72
3480.02,5.17
3437.23,8.91
3399.02,6.41
3379.39,-5.67
3458.57,-0.79
3540.07,8.89
3607.11,10.45
3748.77,10.28
3965.73,40.16
4051.89,34.5
4194.91,44.64
4291.51,27.04
4402.82,49.8
4378.4,43.08
4365.93,37.49
4382.19,44.26
4366.36,37.32
4349.37,35.33
4196.94,26.45
4027.16,-1.85
3886.47,1.87
3810.74,-1.09
3632.37,-24.63
3591.25,-16.36
3696.52,21.42
3895.69,31.99
4027.29,34.23
4170.41,28.07
4323.32,29.14
4586.51,41.31
4679.28,53.2
4828.78,81.05
4785.54,47.44
4940.99,99.53
4723.59,55.67
4759.03,55.11
4639.26,44.72
4577.74,45.05
4467.58,41.68
4393.88,48.55
4273.94,44.55
4402.34,41.02
4324.16,40.34
4173.16,39.92
4036.9,38.29
3931.01,42.15
3727.09,38.67
3639.54,37.43
3581.88,36.41
3513.43,34.52
3511.9,35.84
3537.5,34.05
3583.06,34.37
3634.38,36.47
3713.04,35.47
3759.25,28.13
3854.71,32.44
3747.41,18.68
3677.14,-1.68
3580.36,-27.9
3455.78,-16.87
3386.55,-8.6
3288.23,-12.93
3163.37,-23.7
3256.57,-0.22
3344.82,-8.96
3446.94,6.21
3461.57,-2.13
3472.62,-4.82
3536.11,24.35
3599.03,-14.95
3724.78,24.53
3846.15,15.47
3996.76,14.27
4176.13,26.24
4417.69,31.84
4713.17,36.83
4920.24,49.24
4990.06,34.2
5016.26,28.97
5087.01,56.41
5115.52,51.76
5055.33,67.27
4883.05,48.16
4708.94,44.23
4530.33,35.0
4327.86,35.31
4164.42,37.78
4091.25,35.99
4283.32,41.63
4254.96,43.49
4128.23,39.97
4036.71,38.21
3969.91,37.69
3835.1,26.78
3758.42,13.64
3696.23,27.65
3643.67,19.32
3666.79,24.01
3763.49,12.62
3966.09,35.52
4374.5,43.49
4710.11,98.42
5120.53,58.32
5297.99,218.15
5072.46,103.7
4842.89,58.08
4683.47,52.35
4343.81,30.24
3980.9,21.39
4003.83,26.87
3961.66,20.34
3855.3,12.88
3776.47,10.51
3714.0,11.41
3680.73,18.47
3674.18,33.32
3657.35,20.44
3680.92,23.43
3674.1,29.53
3755.39,34.7
3940.76,40.47
4106.78,45.91
4339.65,37.93
4642.0,32.59
4811.11,21.09
4972.44,53.4
5059.52,44.93
5122.65,53.99
5177.51,56.49
5159.41,66.34
4956.34,58.56
4751.88,44.69
4595.21,47.0
4423.19,40.92
4283.08,49.91
4160.65,40.92
4351.09,43.2
4351.37,44.47
4225.88,39.45
4146.01,39.79
4008.35,39.42
3928.01,33.2
3825.65,32.3
3802.21,40.61
3759.72,35.11
3807.07,40.08
3919.06,45.78
4128.53,48.23
4512.68,66.34
4793.11,55.37
5140.6,82.63
5325.84,134.0
5134.09,71.99
5012.92,58.96
4881.51,55.34
4627.8,58.92
4393.44,54.82
4242.23,47.34
4114.03,45.27
4096.64,38.6
4129.24,46.03
4140.53,39.42
4172.26,48.36
4137.96,51.36
4148.63,58.54
4137.55,61.86
4096.77,55.32
4213.87,55.58
4403.87,59.17
4533.98,53.94
4705.13,46.62
4922.25,54.3
5054.34,52.4
5087.38,53.41
5106.54,55.88
5101.28,62.1
5146.05,60.96
5111.84,49.5
4949.27,45.78
4775.25,43.06
4589.57,39.92
4396.91,36.9
4283.4,45.87
4247.71,47.46
4436.29,48.92
4432.41,49.61
4347.24,60.0
4219.62,55.72
4146.34,51.16
4034.72,47.16
3909.44,46.03
3878.54,45.2
3870.14,44.33
3894.51,46.98
4035.74,59.9
4196.03,67.38
4536.91,68.94
4840.34,216.51
5230.8,74.55
5407.99,74.75
5289.4,57.42
5128.52,54.14
4932.32,51.13
4605.1,50.88
4327.26,43.52
4093.58,41.11
3976.45,44.47
3895.7,43.76
3847.86,39.88
3840.23,46.36
3812.54,45.71
3816.75,45.9
3869.72,47.21
3935.85,59.8
3956.62,57.83
4034.83,59.96
4101.6,63.6
4334.18,40.67
4559.54,50.12
4765.44,136.51
4920.0,97.7
5063.88,60.33
5095.56,74.74
5102.87,79.37
5132.74,69.59
5084.62,62.51
4931.51,62.5
4805.6,54.72
4660.16,50.11
4486.01,43.34
4367.94,59.61
4326.06,55.35
4532.13,60.36
4603.05,82.75
4409.59,59.46
4305.75,55.97
4144.13,48.09
4007.29,43.45
3878.61,39.63
3840.56,39.27
3814.0,38.97
3868.02,43.59
3997.63,48.37
4113.89,51.07
4420.69,55.84
4697.53,56.39
5007.89,53.29
5076.57,51.79
4891.71,47.97
4697.58,49.78
4538.0,42.8
4303.55,44.13
4089.71,33.65
3989.13,34.6
3928.48,37.49
4045.6,38.25
4175.29,33.8
4296.82,34.35
4403.93,47.48
4554.5,84.32
4697.27,69.0
4714.6,58.84
4599.52,49.78
4648.97,63.02
4773.12,49.49
4841.53,37.92
4968.07,35.7
5166.13,46.55
5207.13,48.33
5241.38,53.55
5218.53,57.7
5179.87,78.82
5151.15,93.71
5075.1,69.91
4954.07,55.96
4775.45,51.49
4621.36,55.22
4446.18,47.98
4353.45,54.33
4293.65,51.07
4479.59,56.93
4454.78,54.41
4324.78,47.32
4222.34,43.99
4120.86,42.96
3964.18,45.49
3842.67,41.42
3747.53,41.13
3786.63,41.19
3800.97,41.18
3903.64,47.44
4068.16,57.15
4392.39,71.89
4640.37,44.03
4920.12,49.26
5119.42,54.67
5017.62,93.04
4926.32,47.01
4811.15,45.44
4643.68,65.51
4476.51,60.16
4047.76,34.74
4016.08,40.67
4224.54,38.5
4122.97,33.96
3923.36,28.99
3810.98,29.11
3755.36,27.55
3756.66,34.56
3738.59,33.61
3763.61,33.48
3918.28,34.73
4053.27,32.39
4179.62,38.54
4281.28,31.79
4505.22,48.63
4649.94,38.07
4618.16,35.86
4656.9,39.0
4679.84,40.7
4707.76,39.91
4681.9,51.99
4554.63,46.43
4410.95,39.76
4280.41,36.41
4142.52,36.23
3999.71,44.66
3998.97,42.25
4213.04,59.08
4144.32,56.01
4019.89,47.63
3888.01,47.19
3795.87,44.58
3697.61,43.71
3644.98,42.67
3566.46,43.16
3560.14,40.49
3560.36,41.25
3610.76,43.89
3674.64,45.53
3825.01,49.81
3871.6,52.74
4018.0,67.65
4108.0,56.79
4118.97,46.6
4109.98,42.63
4117.69,47.21
4074.4,32.41
4102.15,39.86
4051.41,36.25
3961.31,37.94
3931.94,40.47
3895.75,40.51
3861.09,44.76
3880.27,49.1
3857.23,44.5
3813.93,34.79
3806.63,40.58
3849.41,46.62
3880.78,44.83
3975.43,47.77
4023.93,43.95
4061.64,43.81
4254.77,45.92
4467.86,58.73
4546.95,59.12
4638.36,59.13
4668.61,60.37
4711.65,59.71
4727.88,59.35
4707.57,60.72
4545.92,55.6
4469.06,56.9
4371.16,44.13
4231.38,45.91
4200.92,44.14
4401.31,57.43
4357.6,63.47
